name,sic,cityba,afs,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockValue,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity
"trutankless, inc.",3630,scottsdale,4,2344098.0,1168124.0,46174.0,,0.001,83324.0,0.0,4208748.0,2344098.0,3604152.0,784043.0,-22753.0,,-2276946.0,-1724727.0,,-45270017.0,-1864650.0
dallasnews corp,2711,dallas,4,113258000.0,81848000.0,37770000.0,,0.01,,83000.0,72090000.0,113258000.0,31265000.0,-1713000.0,113000.0,-2645000.0,-1482000.0,-3012000.0,9996000.0,-408262000.0,
gorman rupp co,3561,mansfield,2,416417000.0,271324000.0,124294000.0,16091000.0,,5102000.0,3701000.0,91461000.0,416417000.0,51838000.0,-8984000.0,-2971000.0,28111000.0,14526000.0,19587000.0,105854000.0,346581000.0,324956000.0
quantum energy inc.,1311,penticton,4,47.0,47.0,,,0.001,48491.0,,1130129.0,47.0,1130129.0,,,,-217399.0,,,-12628254.0,-1130082.0
"apollo commercial real estate finance, inc.",6798,new york,1,7954364000.0,,204581000.0,-120917000.0,0.01,1399000.0,,5659756000.0,7954364000.0,,771071000.0,-1012931000.0,120943000.0,126026000.0,,,-419071000.0,2294608000.0
"utilicraft aerospace industries, inc.",3721,reno,4,0.0,0.0,0.0,,0.0001,32940.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-3813581.0,0.0
"utilicraft aerospace industries, inc.",3721,reno,4,0.0,0.0,0.0,,0.0001,32940.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-3813581.0,0.0
prevention insurance com inc,6411,melbourne,4,6580.0,6480.0,6480.0,,0.0001,764.0,,94252.0,6580.0,94252.0,49954.0,0.0,-43474.0,-23475.0,-23475.0,,-5086251.0,-87672.0
phi group inc,8741,las vegas,4,293330.0,288330.0,85853.0,-139527.0,0.001,14464008.0,,7581262.0,293330.0,7581262.0,142848.0,,-282375.0,-549131.0,-408915.0,,-44559483.0,-7287932.0
phi group inc,8741,las vegas,4,1113682.0,1108682.0,108388.0,-116993.0,0.001,23245238.0,,8320486.0,1113682.0,8320486.0,1057253.0,,-1174247.0,-1240626.0,-530149.0,,-45250978.0,-7206804.0
